[grpo seed=0] training 500000 steps on cuda ...
[grpo] step  301093/500000 | vs random 0.98 vs negamax 0.69 (p1 0.76/p2 0.62) | ploss +0.041 ent 0.42 | train_wr 0.79 | mix r/n/s 0.22/0.48/0.31 lr 1.2e-04 | 111 st/s
[grpo] step  305026/500000 | vs random 0.98 vs negamax 0.77 (p1 0.86/p2 0.68) | ploss +0.029 ent 0.43 | train_wr 0.75 | mix r/n/s 0.21/0.48/0.31 lr 1.2e-04 | 112 st/s
[grpo] step  308687/500000 | vs random 1.00 vs negamax 0.73 (p1 0.78/p2 0.68) | ploss +0.032 ent 0.39 | train_wr 0.79 | mix r/n/s 0.21/0.48/0.31 lr 1.2e-04 | 112 st/s
[grpo] step  312666/500000 | vs random 0.98 vs negamax 0.58 (p1 0.76/p2 0.40) | ploss -0.024 ent 0.42 | train_wr 0.70 | mix r/n/s 0.21/0.48/0.32 lr 1.1e-04 | 112 st/s
[grpo] step  316796/500000 | vs random 0.97 vs negamax 0.74 (p1 0.80/p2 0.68) | ploss +0.028 ent 0.41 | train_wr 0.80 | mix r/n/s 0.20/0.48/0.32 lr 1.1e-04 | 113 st/s
[grpo] step  320697/500000 | vs random 0.97 vs negamax 0.78 (p1 0.80/p2 0.76) | ploss +0.039 ent 0.41 | train_wr 0.75 | mix r/n/s 0.20/0.48/0.32 lr 1.1e-04 | 113 st/s
[grpo] step  324811/500000 | vs random 0.97 vs negamax 0.83 (p1 0.92/p2 0.74) | ploss +0.005 ent 0.39 | train_wr 0.74 | mix r/n/s 0.20/0.48/0.33 lr 1.0e-04 | 113 st/s
[grpo] step  328308/500000 | vs random 0.96 vs negamax 0.81 (p1 0.86/p2 0.76) | ploss +0.076 ent 0.37 | train_wr 0.80 | mix r/n/s 0.19/0.48/0.33 lr 1.0e-04 | 114 st/s
[grpo] step  331902/500000 | vs random 0.97 vs negamax 0.75 (p1 0.74/p2 0.76) | ploss +0.040 ent 0.32 | train_wr 0.84 | mix r/n/s 0.19/0.48/0.33 lr 9.9e-05 | 114 st/s
[grpo] step  335615/500000 | vs random 0.98 vs negamax 0.79 (p1 0.80/p2 0.78) | ploss +0.005 ent 0.36 | train_wr 0.75 | mix r/n/s 0.19/0.48/0.34 lr 9.6e-05 | 114 st/s
[grpo] step  339717/500000 | vs random 0.99 vs negamax 0.75 (p1 0.90/p2 0.60) | ploss +0.049 ent 0.39 | train_wr 0.73 | mix r/n/s 0.18/0.48/0.34 lr 9.3e-05 | 115 st/s
[grpo] step  343612/500000 | vs random 1.00 vs negamax 0.82 (p1 0.92/p2 0.72) | ploss +0.028 ent 0.37 | train_wr 0.80 | mix r/n/s 0.18/0.48/0.34 lr 9.0e-05 | 115 st/s
[grpo] step  347558/500000 | vs random 0.98 vs negamax 0.74 (p1 0.86/p2 0.62) | ploss +0.025 ent 0.36 | train_wr 0.76 | mix r/n/s 0.18/0.48/0.35 lr 8.7e-05 | 115 st/s
[grpo] step  351544/500000 | vs random 0.99 vs negamax 0.80 (p1 0.82/p2 0.78) | ploss -0.011 ent 0.33 | train_wr 0.85 | mix r/n/s 0.17/0.48/0.35 lr 8.5e-05 | 116 st/s
[grpo] step  355657/500000 | vs random 0.97 vs negamax 0.67 (p1 0.78/p2 0.56) | ploss -0.007 ent 0.34 | train_wr 0.81 | mix r/n/s 0.17/0.48/0.35 lr 8.2e-05 | 116 st/s
[grpo] step  359721/500000 | vs random 0.97 vs negamax 0.77 (p1 0.86/p2 0.68) | ploss +0.028 ent 0.36 | train_wr 0.79 | mix r/n/s 0.17/0.48/0.36 lr 7.9e-05 | 116 st/s
[grpo] step  363602/500000 | vs random 1.00 vs negamax 0.76 (p1 0.82/p2 0.70) | ploss +0.025 ent 0.35 | train_wr 0.80 | mix r/n/s 0.16/0.48/0.36 lr 7.7e-05 | 117 st/s
[grpo] step  367544/500000 | vs random 0.98 vs negamax 0.79 (p1 0.88/p2 0.70) | ploss +0.030 ent 0.36 | train_wr 0.73 | mix r/n/s 0.16/0.48/0.36 lr 7.4e-05 | 117 st/s
[grpo] step  371734/500000 | vs random 1.00 vs negamax 0.79 (p1 0.86/p2 0.72) | ploss -0.000 ent 0.36 | train_wr 0.76 | mix r/n/s 0.16/0.48/0.37 lr 7.2e-05 | 117 st/s
[grpo] step  375577/500000 | vs random 0.98 vs negamax 0.75 (p1 0.78/p2 0.72) | ploss +0.030 ent 0.34 | train_wr 0.83 | mix r/n/s 0.15/0.48/0.37 lr 6.9e-05 | 118 st/s
[grpo] step  379507/500000 | vs random 0.98 vs negamax 0.80 (p1 0.88/p2 0.72) | ploss +0.041 ent 0.33 | train_wr 0.84 | mix r/n/s 0.15/0.48/0.37 lr 6.7e-05 | 118 st/s
[grpo] step  383367/500000 | vs random 0.97 vs negamax 0.75 (p1 0.80/p2 0.70) | ploss +0.106 ent 0.35 | train_wr 0.81 | mix r/n/s 0.14/0.48/0.38 lr 6.5e-05 | 118 st/s
[grpo] step  387081/500000 | vs random 0.97 vs negamax 0.85 (p1 0.90/p2 0.80) | ploss +0.061 ent 0.32 | train_wr 0.82 | mix r/n/s 0.14/0.48/0.38 lr 6.3e-05 | 119 st/s
[grpo] step  390751/500000 | vs random 0.99 vs negamax 0.83 (p1 0.88/p2 0.78) | ploss +0.063 ent 0.34 | train_wr 0.79 | mix r/n/s 0.14/0.48/0.38 lr 6.1e-05 | 119 st/s
[grpo] step  394560/500000 | vs random 0.97 vs negamax 0.83 (p1 0.90/p2 0.76) | ploss +0.035 ent 0.32 | train_wr 0.83 | mix r/n/s 0.14/0.48/0.39 lr 5.9e-05 | 118 st/s
[grpo] step  398531/500000 | vs random 0.98 vs negamax 0.76 (p1 0.86/p2 0.66) | ploss -0.010 ent 0.35 | train_wr 0.77 | mix r/n/s 0.13/0.48/0.39 lr 5.7e-05 | 118 st/s
[grpo] step  402478/500000 | vs random 0.97 vs negamax 0.84 (p1 0.90/p2 0.78) | ploss +0.022 ent 0.36 | train_wr 0.74 | mix r/n/s 0.13/0.48/0.39 lr 5.5e-05 | 117 st/s
[grpo] step  406419/500000 | vs random 0.98 vs negamax 0.87 (p1 0.84/p2 0.90) | ploss +0.019 ent 0.33 | train_wr 0.77 | mix r/n/s 0.12/0.48/0.40 lr 5.3e-05 | 117 st/s
[grpo] step  410592/500000 | vs random 0.99 vs negamax 0.79 (p1 0.84/p2 0.74) | ploss +0.014 ent 0.32 | train_wr 0.76 | mix r/n/s 0.12/0.48/0.40 lr 5.1e-05 | 116 st/s
[grpo] step  414885/500000 | vs random 0.98 vs negamax 0.79 (p1 0.82/p2 0.76) | ploss +0.006 ent 0.31 | train_wr 0.77 | mix r/n/s 0.12/0.48/0.40 lr 4.9e-05 | 115 st/s
[grpo] step  418812/500000 | vs random 0.96 vs negamax 0.82 (p1 0.84/p2 0.80) | ploss +0.030 ent 0.32 | train_wr 0.82 | mix r/n/s 0.11/0.48/0.41 lr 4.7e-05 | 115 st/s
[grpo] step  422927/500000 | vs random 1.00 vs negamax 0.78 (p1 0.80/p2 0.76) | ploss +0.038 ent 0.31 | train_wr 0.82 | mix r/n/s 0.11/0.48/0.41 lr 4.6e-05 | 114 st/s
